"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3365","U.A_1. Send verification email","","Tue May 13 21:16:43 UTC 2025","failed","Tue May 13 21:16:46 UTC 2025","","User Actions","",""
"","0","1.2 Org Admin-- minimum case fields -- redirect to Add Case page again","Add Case","Tue May 13 21:16:30 UTC 2025","skipped","Tue May 13 21:16:30 UTC 2025","","1. --- No Case Number formatting in Org/Office, AutoDispo ON","",""
"","140","2.1. Create and run DR for 2 storage locations that have: container with item, empty container, sub-location, empty sub-container and sub-container with item - No Discrepancies Found","Inventory Reports","Tue May 13 21:16:02 UTC 2025","failed","Tue May 13 21:16:02 UTC 2025","","2. Parent/child locations with items and containers","",""
"","75325","3.1. --- with required Custom Form filled out, all required fields on Form","Add Person","Tue May 13 21:44:07 UTC 2025","failed","Tue May 13 21:45:22 UTC 2025","","3. Add Person with Custom Form","",""
"","54065","1.1 All fields enabled -- ""Item Belongs To Shows All People"" turned ON in Org Settings -- multiple people not linked to Primary Case are selected in ""Item Belongs to"" field ","Add Item","Tue May 13 21:27:14 UTC 2025","passed","Tue May 13 21:28:08 UTC 2025","","1. Org Admin","",""
"","662","3 Import Notes for Case - Precheck Only","","Tue May 13 21:17:28 UTC 2025","failed","Tue May 13 21:17:29 UTC 2025","","Import Notes","",""
"","29083","3.1 verify Office Case Number Format with default validation message","Add Case","Tue May 13 21:18:18 UTC 2025","failed","Tue May 13 21:18:47 UTC 2025","","3. --- with Case Number formatting in Office ","",""
"","213","S.I_1. Search by Item Description","","Tue May 13 21:16:35 UTC 2025","failed","Tue May 13 21:16:35 UTC 2025","","Search Item","",""
"","696","2. Import and verify Person with minimum fields","","Tue May 13 21:17:41 UTC 2025","failed","Tue May 13 21:17:41 UTC 2025","","Import People","",""
"","682","8 Validation messages for invalid values","","Tue May 13 21:17:31 UTC 2025","failed","Tue May 13 21:17:31 UTC 2025","","Import Notes","",""
"","675","1 Import Media","","Tue May 13 21:17:16 UTC 2025","failed","Tue May 13 21:17:17 UTC 2025","","Import Media","",""
"","0","2 Import Legacy Chain of Custody - Precheck Only","","Tue May 13 21:16:50 UTC 2025","skipped","Tue May 13 21:16:50 UTC 2025","","Import Legacy Chain of Custody","",""
"","0","1.7. Create and run DR for single child location - multiple Discrepancies Found","Inventory Reports","Tue May 13 21:16:01 UTC 2025","skipped","Tue May 13 21:16:01 UTC 2025","","1. Parent/child locations with items but without containers","",""
"","16716","1. Edit and verify all values on Person View page","","Tue May 13 21:29:07 UTC 2025","failed","Tue May 13 21:29:24 UTC 2025","","Edit Person","",""
"","34799","1.5. Add item from Scan page -- redirect to Item View/Media tab","Add Item","Tue May 13 21:28:35 UTC 2025","passed","Tue May 13 21:29:10 UTC 2025","","1. Org Admin","",""
"","686","I.U_1 Import and verify User with all fields","","Tue May 13 21:17:59 UTC 2025","failed","Tue May 13 21:18:00 UTC 2025","","Import Users","",""
"","19255","1.2. Optional fields disabled -- First & Last Name populated -- redirect to Add Person page again","Add Person","Tue May 13 21:43:08 UTC 2025","passed","Tue May 13 21:43:28 UTC 2025","","1. Org Admin","",""
